,id,Director,Leading_Actor,Supporting_Lead,Supporting_Actor
0,19995,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver
1,285,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley
2,206647,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux
3,49026,Christopher Nolan,Christian Bale,Michael Caine,Gary Oldman
4,49529,Andrew Stanton,Taylor Kitsch,Lynn Collins,Samantha Morton
5,559,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco
6,38757,Byron Howard,Zachary Levi,Mandy Moore,Donna Murphy
7,99861,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
8,767,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson
9,209112,Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot
10,1452,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth
11,10764,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric
12,58,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley
13,57201,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner
14,49521,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon
15,2454,Andrew Adamson,Ben Barnes,William Moseley,Anna Popplewell
16,24428,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo
17,1865,Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane
18,41154,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin
19,122917,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage
20,1930,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans
21,20662,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow
22,57158,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage
23,2268,Chris Weitz,Dakota Blue Richards,Nicole Kidman,Daniel Craig
24,254,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody
25,597,James Cameron,Kate Winslet,Leonardo DiCaprio,Frances Fisher
26,271110,Anthony Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson
27,44833,Peter Berg,Taylor Kitsch,Alexander Skarsgård,Rihanna
28,135397,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Irrfan Khan
29,37724,Sam Mendes,Daniel Craig,Judi Dench,Javier Bardem
30,558,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco
31,68721,Shane Black,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle
32,12155,Tim Burton,Mia Wasikowska,Johnny Depp,Anne Hathaway
33,36668,Brett Ratner,Hugh Jackman,Halle Berry,Ian McKellen
34,62211,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi
35,8373,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel
36,91314,Michael Bay,Mark Wahlberg,Stanley Tucci,Kelsey Grammer
37,68728,Sam Raimi,James Franco,Mila Kunis,Rachel Weisz
38,102382,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx
39,20526,Joseph Kosinski,Garrett Hedlund,Jeff Bridges,Olivia Wilde
40,49013,John Lasseter,Owen Wilson,Larry the Cable Guy,Michael Caine
41,44912,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard
42,10193,Lee Unkrich,Tom Hanks,Tim Allen,Ned Beatty
43,534,McG,Christian Bale,Sam Worthington,Anton Yelchin
44,168259,James Wan,Vin Diesel,Paul Walker,Dwayne Johnson
45,72190,Marc Forster,Brad Pitt,Mireille Enos,Abigail Hargrove
46,127585,Bryan Singer,Hugh Jackman,James McAvoy,Michael Fassbender
47,54138,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana
48,81005,Bryan Singer,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor
49,64682,Baz Luhrmann,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan
50,9543,Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley
51,68726,Guillermo del Toro,Idris Elba,Charlie Hunnam,Charlie Day
52,38356,Michael Bay,Shia LaBeouf,John Malkovich,Ken Jeong
53,217,Steven Spielberg,Harrison Ford,Cate Blanchett,Shia LaBeouf
54,105864,Peter Sohn,Raymond Ochoa,Jack Bright,Jeffrey Wright
55,62177,Brenda Chapman,Kelly Macdonald,Julie Walters,Billy Connolly
56,188927,Justin Lin,Chris Pine,Zachary Quinto,Karl Urban
57,10681,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin
58,5174,Brett Ratner,Chris Tucker,Jackie Chan,Hiroyuki Sanada
59,14161,Roland Emmerich,John Cusack,Amanda Peet,Chiwetel Ejiofor
60,17979,Robert Zemeckis,Gary Oldman,Jim Carrey,Steve Valentine
61,76757,Lilly Wachowski,Mila Kunis,Channing Tatum,Sean Bean
62,258489,David Yates,Alexander Skarsgård,Margot Robbie,Christoph Waltz
63,411,Andrew Adamson,William Moseley,Anna Popplewell,Skandar Keynes
64,246655,Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence
65,155,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart
66,14160,Pete Docter,Ed Asner,Christopher Plummer,Jordan Nagai
67,15512,Conrad Vernon,Seth Rogen,Reese Witherspoon,Hugh Laurie
68,1726,Jon Favreau,Robert Downey Jr.,Terrence Howard,Jeff Bridges
69,44826,Martin Scorsese,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield
70,8487,Barry Sonnenfeld,Will Smith,Kevin Kline,Kenneth Branagh
71,1735,Rob Cohen,Brendan Fraser,Jet Li,John Hannah
72,297761,David Ayer,Will Smith,Margot Robbie,Joel Kinnaman
73,2698,Tom Shadyac,Steve Carell,Lauren Graham,John Goodman
74,137113,Doug Liman,Tom Cruise,Emily Blunt,Brendan Gleeson
75,9804,Kevin Reynolds,Kevin Costner,Chaim Girafi,Rick Aviles
76,14869,Stephen Sommers,Dennis Quaid,Channing Tatum,Marlon Wayans
77,150540,Pete Docter,Amy Poehler,Phyllis Smith,Richard Kind
78,278927,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley
79,10138,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle
80,58595,Rupert Sanders,Kristen Stewart,Charlize Theron,Chris Hemsworth
81,102651,Robert Stromberg,Angelina Jolie,Elle Fanning,Sharlto Copley
82,119450,Matt Reeves,Andy Serkis,Jason Clarke,Gary Oldman
83,79698,Roland Joffé,Josh Hartnett,Simone Kessell,Tamsin Egerton
84,64686,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki
85,100402,Anthony Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson
86,10192,Mike Mitchell,Mike Myers,Eddie Murphy,Cameron Diaz
87,158852,Brad Bird,Britt Robertson,George Clooney,Raffey Cassidy
88,177572,Chris Williams,Scott Adsit,Ryan Potter,Daniel Henney
89,82690,Rich Moore,John C. Reilly,Sarah Silverman,Jack McBrayer
90,5255,Robert Zemeckis,Tom Hanks,Michael Jeter,Nona Gaye
91,47933,Roland Emmerich,Liam Hemsworth,Jeff Goldblum,Bill Pullman
92,10191,Chris Sanders,Jay Baruchel,Gerard Butler,Craig Ferguson
93,296,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,Claire Danes
94,118340,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista
95,157336,Christopher Nolan,Matthew McConaughey,Jessica Chastain,Anne Hathaway
96,27205,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page
97,315011,Hideaki Anno,Hiroki Hasegawa,Yutaka Takenouchi,Satomi Ishihara
98,49051,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage
99,9799,Rob Cohen,Paul Walker,Vin Diesel,Michelle Rodriguez
100,4922,David Fincher,Cate Blanchett,Brad Pitt,Tilda Swinton
101,49538,Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence
102,131634,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
103,27022,Jon Turteltaub,Nicolas Cage,Jay Baruchel,Monica Bellucci
104,503,Wolfgang Petersen,Kurt Russell,Richard Dreyfuss,Josh Lucas
105,241259,James Bobin,Johnny Depp,Mia Wasikowska,Anne Hathaway
106,810,Chris Miller,Mike Myers,Eddie Murphy,Cameron Diaz
107,68735,Duncan Jones,Paula Patton,Travis Fimmel,Ben Foster
108,87101,Alan Taylor,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke
109,10140,Michael Apted,Skandar Keynes,Georgie Henley,Simon Pegg
110,676,Michael Bay,Ben Affleck,Josh Hartnett,Kate Beckinsale
111,1858,Michael Bay,Shia LaBeouf,Josh Duhamel,Megan Fox
112,1966,Oliver Stone,Colin Farrell,Angelina Jolie,Val Kilmer
113,675,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson
114,674,Mike Newell,Daniel Radcliffe,Rupert Grint,Emma Watson
115,8960,Peter Berg,Will Smith,Charlize Theron,Jason Bateman
116,6479,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan
117,118,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly
118,2062,Jan Pinkava,Patton Oswalt,Ian Holm,Lou Romano
119,272,Christopher Nolan,Christian Bale,Michael Caine,Liam Neeson
120,10527,Eric Darnell,Ben Stiller,Jada Pinkett Smith,David Schwimmer
121,18360,Shawn Levy,Ben Stiller,Amy Adams,Owen Wilson
122,2080,Gavin Hood,Hugh Jackman,Liev Schreiber,Danny Huston
123,605,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
124,109445,Chris Buck,Kristen Bell,Idina Menzel,Jonathan Groff
125,604,Lilly Wachowski,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
126,76338,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston
127,76341,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult
128,13448,Ron Howard,Tom Hanks,Ewan McGregor,Ayelet Zurer
129,10195,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Tom Hiddleston
130,13053,Chris Williams,John Travolta,Miley Cyrus,Susie Essman
131,19585,Hoyt Yeatman,Sam Rockwell,Penélope Cruz,Tracy Morgan
132,57165,Jonathan Liebesman,Sam Worthington,Liam Neeson,Ralph Fiennes
133,62213,Tim Burton,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter
134,177677,Christopher McQuarrie,Tom Cruise,Rebecca Ferguson,Simon Pegg
135,7978,Joe Johnston,Benicio del Toro,Anthony Hopkins,Emily Blunt
136,5559,Steve Hickner,Jerry Seinfeld,Renée Zellweger,Jim Cummings
137,49444,Jennifer Yuh Nelson,Jack Black,Angelina Jolie,Dustin Hoffman
138,10196,M. Night Shyamalan,Noah Ringer,Nicola Peltz,Jackson Rathbone
139,956,J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Ving Rhames
140,117251,Roland Emmerich,Channing Tatum,Jamie Foxx,Joey King
141,50321,Simon Wells,Seth Green,Joan Cusack,Dan Fogler
142,11619,David Bowers,Hugh Jackman,Kate Winslet,Ian McKellen
143,266647,Joe Wright,Levi Miller,Garrett Hedlund,Hugh Jackman
144,82703,Rob Minkoff,Ty Burrell,Max Charles,Ariel Winter
145,652,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Eric Bana
146,80321,Conrad Vernon,Ben Stiller,Sacha Baron Cohen,David Schwimmer
147,36669,Lee Tamahori,Pierce Brosnan,Halle Berry,Rosamund Pike
