budget,revenue,runtime,vote_average,vote_count,popularity,release_date,length_of_title,total_spoken_languages,Crime,Adventure,Animation,Comedy,Drama,Action,Western,Science_Fiction,Mystery,Thriller,Romance,Fantasy,Horror,War,Family,Documentary,Music,History,TV_Movie,Foreign,Universal_Pictures,Warner_Bros,Fox_Film_Corp,MGM,Columbia,Lionsgate,US,UK,DE,FR,CA,Steven_Spielberg,Woody_Allen,Clint_Eastwood,Martin_Scorsese,Robert_De_Niro,Bruce_Willis,Matt_Damon,Nicolas_Cage,Samuel_L_Jackson
4000000,4300000,98,6.5,530,22.87623,1995-12-09,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11000000,775398007,121,8.1,6624,126.393695,1977-05-25,9,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94000000,940335536,100,7.6,6122,85.688789,2003-05-30,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55000000,677945399,142,8.2,7927,138.133331,1994-07-06,12,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000,356296601,122,7.9,3313,80.87860500000001,1999-09-15,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12800000,40031879,140,7.6,377,22.022228,2000-05-17,18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000000,263920180,126,7.3,3885,109.528572,1997-05-07,17,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
92620000,650422,153,8,657,32.351527000000004,1927-01-10,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4300000,9726954,106,7.2,77,7.958831,2003-03-07,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140000000,655011224,143,7.5,6985,271.972889,2003-07-09,54,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30000000,180949000,111,7.7,4949,79.75496600000001,2003-10-10,17,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72000000,96889998,125,6.6,765,32.227222999999995,2005-11-04,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31500000,89460381,153,8,2055,49.973462,1979-08-15,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
